Time,Energy (kWh),Power (kW),Transmission fee block,
1. 1. 2024 00:15:00,7.8750,31.5000,4,
1. 1. 2024 00:30:00,7.6000,30.4000,4,
1. 1. 2024 00:45:00,8.0500,32.2000,4,
1. 1. 2024 01:00:00,8.0000,32.0000,4,
1. 1. 2024 01:15:00,7.7000,30.8000,4,
1. 1. 2024 01:30:00,7.3000,29.2000,4,
1. 1. 2024 01:45:00,7.4000,29.6000,4,
1. 1. 2024 02:00:00,7.5250,30.1000,4,
1. 1. 2024 02:15:00,7.9000,31.6000,4,
1. 1. 2024 02:30:00,7.1000,28.4000,4,
1. 1. 2024 02:45:00,7.2500,29.0000,4,
1. 1. 2024 03:00:00,7.5750,30.3000,4,
1. 1. 2024 03:15:00,7.5750,30.3000,4,
1. 1. 2024 03:30:00,7.3000,29.2000,4,
1. 1. 2024 03:45:00,7.7750,31.1000,4,
1. 1. 2024 04:00:00,7.4500,29.8000,4,
1. 1. 2024 04:15:00,7.8000,31.2000,4,
1. 1. 2024 04:30:00,7.3250,29.3000,4,
1. 1. 2024 04:45:00,7.3750,29.5000,4,
1. 1. 2024 05:00:00,7.3750,29.5000,4,
1. 1. 2024 05:15:00,7.9500,31.8000,4,
1. 1. 2024 05:30:00,7.3750,29.5000,4,
1. 1. 2024 05:45:00,7.8250,31.3000,4,
1. 1. 2024 06:00:00,7.9000,31.6000,4,
1. 1. 2024 06:15:00,8.2750,33.1000,3,
1. 1. 2024 06:30:00,8.0250,32.1000,3,
1. 1. 2024 06:45:00,7.9250,31.7000,3,
1. 1. 2024 07:00:00,7.8500,31.4000,3,
1. 1. 2024 07:15:00,8.2500,33.0000,2,
1. 1. 2024 07:30:00,7.8750,31.5000,2,
1. 1. 2024 07:45:00,9.3250,37.3000,2,
1. 1. 2024 08:00:00,9.6750,38.7000,2,
1. 1. 2024 08:15:00,10.2750,41.1000,2,
1. 1. 2024 08:30:00,9.4500,37.8000,2,
1. 1. 2024 08:45:00,9.4000,37.6000,2,
1. 1. 2024 09:00:00,9.6500,38.6000,2,
1. 1. 2024 09:15:00,10.3250,41.3000,2,
1. 1. 2024 09:30:00,9.5000,38.0000,2,
1. 1. 2024 09:45:00,9.6500,38.6000,2,
1. 1. 2024 10:00:00,9.4250,37.7000,2,
1. 1. 2024 10:15:00,10.1500,40.6000,2,
