"Time stamp","System power generated | (kW)"
"1",-0.081608
"2",-0.081608
"3",-0.081608
"4",-0.081608
"5",-0.081608
"6",-0.081608
"7",-0.081608
"8",-0.081608
"9",-0.081608
"10",-0.081608
"11",-0.081608
"12",-0.081608
"13",-0.081608
"14",-0.081608
"15",-0.081608
"16",-0.081608
"17",-0.081608
"18",-0.081608
"19",-0.081608
"20",-0.081608
"21",-0.081608
"22",-0.081608
"23",-0.081608
"24",-0.081608
"25",-0.081608
"26",-0.081608
"27",-0.081608
"28",-0.081608
"29",-0.081608
"30",-0.081608
"31",-0.081608
"32",11.1477
"33",25.3635
"34",22.6658
"35",30.7642
"36",28.9157
"37",24.0455
"38",22.8307
"39",21.5132
"40",20.1343
"41",18.7158
"42",17.5392
"43",16.3506
"44",15.1561
"45",13.9595
"46",15.9428
"47",17.9258
"48",19.9097
"49",21.8956
"50",18.609
"51",15.3218
"52",12.0328
"53",8.7408
"54",12.3397
"55",15.9133
"56",19.4507
"57",22.9379
"58",16.5746
"59",10.2391
"60",3.96443
"61",-0.081608
"62",-0.081608
"63",-0.081608
"64",-0.081608
"65",-0.081608
"66",-0.081608
"67",-0.081608
"68",-0.081608
"69",-0.081608
"70",-0.081608
"71",-0.081608
"72",-0.081608
"73",-0.081608
"74",-0.081608
"75",-0.081608
"76",-0.081608
"77",-0.081608
"78",-0.081608
"79",-0.081608
"80",-0.081608
"81",-0.081608
"82",-0.081608
"83",-0.081608
"84",-0.081608
"85",-0.081608
"86",-0.081608
"87",-0.081608
"88",-0.081608
"89",-0.081608
"90",-0.081608
"91",-0.081608
"92",-0.081608
"93",-0.081608
"94",-0.081608
"95",-0.081608
"96",-0.081608
"97",-0.081608
"98",-0.081608
"99",-0.081608
"100",-0.081608
"101",-0.081608
"102",-0.081608
"103",-0.081608
"104",-0.081608
"105",-0.081608
"106",-0.081608
"107",-0.081608
"108",-0.081608
"109",-0.081608
"110",-0.081608
"111",-0.081608
"112",-0.081608
"113",-0.081608
"114",-0.081608
"115",-0.081608
"116",-0.081608
"117",-0.081608
"118",-0.081608
"119",-0.081608
"120",-0.081608
"121",-0.081608
"122",-0.081608
"123",-0.081608
"124",-0.081608
"125",-0.081608
"126",-0.081608
"127",-0.081608
"128",10.4483
"129",23.0016
"130",23.6158
"131",40.5441
"132",47.3101
"133",52.7663
"134",53.9414
"135",54.9141
"136",55.6955
"137",56.3305
"138",64.0663
"139",71.9673
"140",80.0247
"141",88.1562
"142",85.4952
"143",82.9677
"144",80.3648
"145",77.703
"146",72.9745
"147",68.2757
"148",63.5415
"149",58.8109
"150",53.8077
"151",48.6517
"152",43.3108
"153",37.7665
"154",27.4112
"155",17.2038
"156",7.38901
"157",-0.081608
"158",-0.081608
"159",-0.081608
"160",-0.081608
"161",-0.081608
"162",-0.081608
"163",-0.081608
"164",-0.081608
"165",-0.081608
"166",-0.081608
"167",-0.081608
"168",-0.081608
"169",-0.081608
"170",-0.081608
"171",-0.081608
"172",-0.081608
"173",-0.081608
"174",-0.081608
"175",-0.081608
"176",-0.081608
"177",-0.081608
"178",-0.081608
"179",-0.081608
"180",-0.081608
"181",-0.081608
"182",-0.081608
"183",-0.081608
"184",-0.081608
"185",-0.081608
"186",-0.081608
"187",-0.081608
"188",-0.081608
"189",-0.081608
"190",-0.081608
"191",-0.081608
"192",-0.081608
"193",-0.081608
"194",-0.081608
"195",-0.081608
"196",-0.081608
"197",-0.081608
"198",-0.081608
"199",-0.081608
"200",-0.081608
"201",-0.081608
"202",-0.081608
"203",-0.081608
"204",-0.081608
"205",-0.081608
"206",-0.081608
"207",-0.081608
"208",-0.081608
"209",-0.081608
"210",-0.081608
"211",-0.081608
"212",-0.081608
"213",-0.081608
"214",-0.081608
"215",-0.081608
"216",-0.081608
"217",-0.081608
"218",-0.081608
"219",-0.081608
"220",-0.081608
"221",-0.081608
"222",-0.081608
"223",-0.081608
"224",10.2402
"225",22.4633
"226",24.613
"227",42.8282
"228",51.5801
"229",59.2564
"230",70.6036
"231",84.2903
"232",100.054
"233",117.633
"234",126.672
"235",138.595
"236",152.027
"237",166.411
"238",169.527
"239",171.461
"240",172.043
"241",171.332
"242",147.404
"243",123.091
"244",98.9228
"245",75.7631
"246",60.8833
"247",46.3184
"248",31.9794
"249",18.0509
"250",13.0369
"251",8.01896
"252",3.00847
"253",-0.081608
"254",-0.081608
"255",-0.081608
"256",-0.081608
"257",-0.081608
"258",-0.081608
"259",-0.081608
"260",-0.081608
"261",-0.081608
"262",-0.081608
"263",-0.081608
"264",-0.081608
"265",-0.081608
"266",-0.081608
"267",-0.081608
"268",-0.081608
"269",-0.081608
"270",-0.081608
"271",-0.081608
"272",-0.081608
"273",-0.081608
"274",-0.081608
"275",-0.081608
